school_name,link,address,category,rating,last_report_date,urn,is_religious
John Keats Primary School,/provider/21/145888,"391 Rotherhithe New Road, Rotherhithe, London, SE16 3FN",Primary,Good,27 April 2023,145888,False
Michael Faraday School,/provider/21/100803,"Portland Street, Walworth, Southwark, London, SE17 2HR",Primary,Good,19 July 2024,100803,False
North Bridge House Preparatory,/provider/27/135140,"1 Gloucester Avenue, London, NW1 7AB",Independent School,Outstanding,16 June 2011,135140,False
Primrose Hill School,/provider/21/100020,"Princess Road, London, NW1 8JL",Primary,Good,05 February 2024,100020,False
Hawley Primary School,/provider/21/100015,"Hawley Road, London, NW1 8RP",Primary,Good,27 March 2019,100015,False
"Holy Trinity and Saint Silas CofE Primary School, NW1",/provider/21/100033,"Hartland Road, London, NW1 8DE",Primary,Good,29 November 2021,100033,True
Harmood School,/provider/25/100092,"Harmood Street, Camden, London, NW1 8DP",Special School,Good,14 November 2022,100092,False
Hungerford School,/provider/21/145731,"249 Hungerford Road, Islington, London, N7 9LF",Primary,Good,30 November 2022,145731,False
St John's Wood Pre-Preparatory School,/provider/27/101174,"St John's Hall, Lord's Roundabout, London, NW8 7NE",Independent School,Good,08 February 2024,101174,True
Gateway Academy,/provider/21/140050,"Capland Street, London, NW8 8LN",Primary,Good,15 November 2022,140050,False
Barrow Hill Junior School,/provider/21/101107,"Bridgeman Street, St John's Wood, London, NW8 7AL",Primary,Good,06 November 2019,101107,False
The Bridge School,/provider/25/143217,"251 Hungerford Road, London, N7 9LD",Special School,,05 February 2020,143217,False
Torriano Primary School,/provider/21/100023,"Torriano Avenue, Kentish Town, London, NW5 2SJ",Primary,Outstanding,12 October 2018,100023,False
Kentish Town Church of England Primary School,/provider/21/100034,"Islip Street, London, NW5 2TU",Primary,Outstanding,16 January 2018,100034,True
Robinsfield Infant School,/provider/21/101117,"Ordnance Hill, London, NW8 6PX",Primary,Good,17 July 2023,101117,False
St Patrick's Catholic Primary School,/provider/21/100045,"Holmes Road, London, NW5 3AH",Primary,Good,18 December 2019,100045,True
St Paul's Church of England Primary School,/provider/21/100046,"Elsworthy Road, Primrose Hill, London, NW3 3DS",Primary,Good,14 December 2021,100046,True
Rhyl Community Primary School,/provider/21/100021,"Rhyl Street, London, NW5 3HB",Primary,Outstanding,19 March 2024,100021,False
College Francais Bilingue De Londres,/provider/27/100082,"87 HOLMES ROAD, KENTISH TOWN, LONDON, NW5 3AX",Independent School,Good,29 November 2022,100082,False
L'Ecole Bilingue Elementaire,/provider/27/134192,"St David's Welsh Church, St Mary's Terrace, London, W2 1SJ",Independent School,Outstanding,25 March 2019,134192,False
Tufnell Park Primary School,/provider/21/100430,"31 Carleton Road, London, N7 0HJ",Primary,Good,14 November 2022,100430,False
John Ruskin Primary School and Language Classes,/provider/21/100798,"John Ruskin Street, Camberwell, London, SE5 0PQ",Primary,Outstanding,30 November 2023,100798.0,False
Harris Academy Chobham,/provider/28/139703,"40 Cheering Lane, London, E20 1BD",Other schools,Outstanding,10 July 2015,139703.0,False
Carpenters Primary School,/provider/21/102712,"Friendship Way, Stratford, London, E15 2JQ",Primary,Good,12 March 2020,102712.0,False
Colegrave Primary School,/provider/21/102752,"Henniker Road, London, E15 1JY",Primary,Outstanding,09 November 2023,102752.0,False
Bobby Moore Academy,/provider/28/144739,"1 Siding Street, Queen Elizabeth Olympic Park, London, E20 2AE",Other schools,Good,11 December 2021,144739.0,False
Education Links,/provider/22/141139,"90 Chandos Road, Stratford, London, E15 1TT",Pupil Referral Unit,Good,29 November 2022,141139.0,False
Hafs Academy,/provider/27/138801,"Unit 3, 26 Maryland Road, Stratford, London, E15 1JW",Independent School,Inadequate,20 November 2023,138801.0,False
John F Kennedy Special School,/provider/25/141255,"Pitchford Street, Stratford, London, E15 4RZ",Special School,Outstanding,01 February 2023,141255.0,False
School 21,/provider/28/138196,"Pitchford Street, Stratford, E15 4RZ",Other schools,Requires Improvement,16 May 2023,138196.0,False
Mossbourne Riverside Academy,/provider/21/140426,"East Bay Lane, London, E15 2GW",Primary,Outstanding,08 June 2018,140426.0,False
St Francis' Catholic Primary School,/provider/21/147336,"Maryland Park, Stratford, Main Entrance in Bow Street, London, E15 1HD",Primary,,05 July 2024,147336.0,True
Gainsborough Primary School,/provider/21/100225,"Berkshire Road, London, E9 5ND",Primary,Good,14 September 2023,100225.0,False
Downsell Primary School,/provider/21/103044,"Downsell Road, Leyton, London, E15 2BS",Primary,Good,30 January 2024,103044.0,False
East London Independent School,/provider/27/136052,"Welfare Road, 1c Maryland Park, Stratford, London, E15 4HT",Independent School,Good,17 January 2023,136052.0,False
Azhar Academy Girls School,/provider/27/134417,"Block F, Tennyson Road, Forest Gate, Stratford, London, E15 4DR",Independent School,Outstanding,16 May 2024,134417.0,False
School 360,/provider/21/148623,"5 Sugar House Lane, London, E15 2QS",Primary,Good,03 February 2024,148623.0,False
Maryland Primary School,/provider/21/102730,"Gurney Road, London, E15 1SL",Primary,Good,27 April 2023,102730.0,False
Park Primary School,/provider/21/102736,"Park Primary School, Mathews Park Avenue, London, E15 4AE",Primary,Good,29 June 2023,102736.0,False
West Ham Church Primary School,/provider/21/102765,"Portway, Stratford, London, E15 3QG",Primary,Good,29 June 2021,102765.0,True
Stratford Manor Primary School & Nursery,/provider/21/102729,"Richardson Road, London, E15 3BA",Primary,Good,17 July 2023,102729.0,False
The Jenny Hammond Primary School,/provider/21/103082,"Elsham Road, Leytonstone, London, E11 3JH",Primary,Good,27 April 2023,103082.0,False
Earlham Primary School,/provider/21/145088,"Earlham Grove, Forest Gate, London, E7 9AW",Primary,Outstanding,25 July 2023,145088.0,False
Ranelagh Primary School,/provider/21/144139,"Corporation Street, Stratford, London, E15 3DN",Primary,,20 December 2019,144139.0,False
Old Ford Primary - A Paradigm Academy,/provider/21/140096,"Wrights Road, Bow, London, E3 5LD",Primary,Outstanding,21 December 2022,140096.0,False
St James' CofE Junior School,/provider/21/102764,"Tower Hamlets Road, Forest Gate, London, E7 9DA",Primary,Good,10 May 2023,102764.0,True
Ickburgh School,/provider/25/100312,"Kenworthy Road, Hackney, London, E9 5RB",Special School,Good,20 September 2023,100312.0,False
Old Palace Primary School,/provider/21/100892,"St Leonard's Street, Bow, London, E3 3BT",Primary,Good,22 May 2023,100892.0,False
Odessa Infant School,/provider/21/102735,"Wellington Road, London, E7 9BY",Primary,Good,13 May 2020,102735.0,False
St Agnes RC Primary School,/provider/21/100949,"Rainhill Way, Bow, London, E3 3ER",Primary,Outstanding,25 April 2024,100949.0,True
Mayville Primary School,/provider/21/142713,"Lincoln Street, London, E11 4PZ",Primary,Good,12 June 2024,142713.0,False
Ian Mikardo School,/provider/25/143630,"60 William Guy Gardens, Talwin Street, London, E3 3LF",Special School,Good,25 September 2023,143630.0,False
Kingsmead Primary School,/provider/21/100250,"Kingsmead Way, London, E9 5PP",Primary,Outstanding,02 February 2024,100250.0,False
St. Dominic's Catholic Primary School,/provider/21/133669,"Ballance Road, London, E9 5SR",Primary,Good,19 May 2023,133669.0,True
Noor Ul Islam Primary School,/provider/27/133517,"135 Dawlish Road, Leyton, London, London, E10 6QW",Independent School,Good,21 November 2023,133517.0,False
Daubeney Primary School,/provider/21/100223,"Daubeney Road, Clapton, London, E5 0EG",Primary,Good,27 November 2023,100223.0,False
Phoenix School,/provider/25/100987,"49 Bow Road, London, E3 2AD",Special School,Outstanding,21 May 2024,100987.0,False
Portway Primary School,/provider/21/142632,"Stratford Road, Plaistow, London, E13 0JW",Primary,Outstanding,09 May 2019,142632.0,False
Lantern of Knowledge Secondary School,/provider/27/132848,"30-36 Lindley Road, Leyton, London, E10 6QT",Independent School,Good,10 November 2023,132848.0,True
Quwwat Ul Islam Girls' School,/provider/27/134627,"16 Chaucer Road, Forest Gate, London, E7 9NB",Independent School,Good,12 July 2024,134627.0,False
Wellington Primary School,/provider/21/100927,"Wellington Way, Bow, London, E3 4NE",Primary,Outstanding,29 January 2024,100927.0,False
Newport School,/provider/21/103048,"Newport Road, London, E10 6PJ",Primary,Outstanding,17 July 2013,103048.0,False
Buxton School,/provider/28/103080,"234 Cann Hall Road, Leytonstone, London, E11 3NN",Other schools,Good,20 September 2023,103080.0,False
St Antony's Catholic Primary School,/provider/21/148025,"Upton Avenue, Forest Gate, London, E7 9PN",Primary,,26 September 2023,148025.0,True
Malmesbury Primary School,/provider/21/134160,"Coborn Street, Bow, London, E3 2AB",Primary,Good,14 July 2023,134160.0,False
Marner Primary School,/provider/21/100912,"Devas Street, Bow, London, E3 3LL",Primary,Good,16 January 2023,100912.0,False
Gainsborough Primary School,/provider/21/143276,"Gainsborough Road, London, E15 3AF",Primary,Good,21 November 2019,143276.0,False
Chisenhale Primary School,/provider/21/100896,"Chisenhale Road, Bow, Chisenhale Rd, London, E3 5QY",Primary,Good,17 July 2024,100896.0,False
Olga Primary School,/provider/21/100916,"Lanfranc Road, Bow, London, E3 5DN",Primary,Good,17 January 2022,100916.0,False
Dawlish Primary School,/provider/21/103073,"Jesse Road, London, E10 6NN",Primary,Good,16 June 2023,103073.0,False
Willow Brook Primary School Academy,/provider/21/138364,"190 Church Road, Leyton, London, E10 7BH",Primary,Outstanding,09 November 2023,138364.0,False
St Joseph's Catholic Infant School,/provider/21/103090,"Marsh Lane, London, E10 7BL",Primary,Good,04 March 2022,103090.0,True
Berger Primary School,/provider/21/100218,"Anderson Road, Hackney, London, E9 6HB",Primary,Good,18 December 2019,100218.0,False
Curwen Primary School,/provider/21/144142,"Atlas Road, London, E13 0AG",Primary,Outstanding,19 January 2024,144142.0,False
The Clara Grant Primary School,/provider/21/144699,"Knapp Road, Bow, London, E3 4BU",Primary,,29 April 2022,144699.0,False
Riverley Primary School,/provider/21/139723,"Park Road, Leyton, London, E10 7BZ",Primary,Outstanding,27 April 2023,139723.0,False
Mandeville Primary School,/provider/21/100261,"Oswald Street, Hackney, London, E5 0BT",Primary,Outstanding,25 April 2024,100261.0,False
Selwyn Primary School,/provider/21/142726,"Selwyn Road, London, E13 0ES",Primary,,23 April 2019,142726.0,False
Woodgrange Infant School,/provider/21/102722,"Sebert Road, London, E7 0NJ",Primary,Good,20 December 2019,102722.0,False
Beatrice Tate School,/provider/25/100989,"41 Southern Grove, Mile End, London, E3 4PX",Special School,Outstanding,16 July 2021,100989.0,False
Davies Lane Primary School,/provider/21/143384,"Davies Lane, Leytonstone, London, E11 3DR",Primary,Outstanding,17 July 2024,143384.0,False
George Mitchell School,/provider/28/145106,"Farmer Road, Leyton, London, E10 5DN",Other schools,Good,17 July 2023,145106.0,False
Star Primary School,/provider/21/102746,"Star Lane, Canning Town, London, E16 4NH",Primary,Good,16 January 2023,102746.0,False
Grange Primary School,/provider/21/102723,"Suffolk Road, Plaistow, London, E13 0HE",Primary,Good,07 February 2023,102723.0,False
Upton Cross Primary School,/provider/21/142267,"Churston Avenue & Kirton Road, Plaistow, London, E13 0RJ",Primary,Good,11 March 2020,142267.0,False
Elmhurst Primary School,/provider/21/145362,"Upton Park Road, Forest Gate, London, E7 8JY",Primary,Outstanding,29 November 2021,145362.0,False
Orchard Primary School,/provider/21/100234,"Holcroft Road, Hackney, London, E9 7BB",Primary,Good,01 February 2022,100234.0,False
George Tomlinson Primary School,/provider/21/103075,"Harrington Road, Leytonstone, London, E11 4QN",Primary,Good,18 July 2023,103075.0,False
Godwin Junior School,/provider/21/102721,"Cranmer Road, Forest Gate, London, E7 0JW",Primary,Good,19 January 2024,102721.0,False
St Joseph's Catholic Junior School,/provider/21/103086,"150 Vicarage Road, Leyton, London, E10 5DX",Primary,Good,04 July 2023,103086.0,True
Manorfield Primary School,/provider/21/100920,"Wyvis Street, Poplar, London, E14 6QD",Primary,Outstanding,09 September 2013,100920.0,False
Morningside Primary School,/provider/21/100232,"Chatham Place, Hackney, Morningside Primary School, London, E9 6LL",Primary,Outstanding,19 October 2023,100232.0,False
St John and St James CofE Primary School,/provider/21/132137,"Isabella Road, Hackney, London, E9 6DX",Primary,Outstanding,13 June 2024,132137.0,True
St John of Jerusalem Church of England Primary School,/provider/21/100270,"Kingshold Road, London, E9 7JF",Primary,Good,27 January 2023,100270.0,True
Rushmore Primary School,/provider/21/130302,"Elderfield Road, Hackney, London, E5 0LE",Primary,Good,14 November 2022,130302.0,False
Zakariya Primary School,/provider/27/134577,"447-451 Romford Road, Forest Gate, London, E7 8AB",Independent School,Inadequate,28 November 2023,134577.0,True
St Helen's Catholic Primary School,/provider/21/141925,"Chargeable Lane, London, E13 8DW",Primary,Outstanding,30 January 2023,141925.0,True
Plaistow Primary School,/provider/21/132812,"Junction Road, Plaistow, London, E13 9DQ",Primary,Good,03 July 2024,132812.0,False
St Paul's Way Trust School,/provider/28/143379,"125 St Paul's Way, London, E3 4FT",Other schools,Good,14 November 2022,143379.0,True
Sandringham Primary School,/provider/21/130381,"Sandringham Road, London, E7 8ED",Primary,Outstanding,09 November 2023,130381.0,False
Southern Road Primary School,/provider/21/102755,"Southern Road, Plaistow, E13 9JH",Primary,Good,09 November 2023,102755.0,False
The Olive School Hackney,/provider/21/139814,"32 St Johns Church Road, Hackney, London, E9 6EJ",Primary,Outstanding,10 June 2015,139814.0,True
Solebay Primary - A Paradigm Academy,/provider/21/138276,"11 Solebay Street, London, E1 4PW",Primary,Outstanding,05 July 2023,138276.0,False
St Saviour's Church of England Primary School,/provider/21/100961,"Chrisp Street, Poplar, London, E14 6BB",Primary,Outstanding,10 June 2019,100961.0,True
Millfields Community School,/provider/21/100231,"Hilsea Street, Hackney, London, E5 0SH",Primary,Good,08 April 2024,100231.0,False
St Paul with St Luke CofE Primary School,/provider/21/100958,"Leopold Street, Bow, London, E3 4LA",Primary,Good,20 December 2019,100958.0,True
Connaught Special School,/provider/25/149777,"Kirton Road, London, E13 9BT",Special School,,,,False
Stebon Primary School,/provider/21/144235,"Burdett Estate, Wallwood Street, Poplar, London, E14 7AD",Primary,Outstanding,27 September 2023,144235.0,False
Sybourn Primary School,/provider/21/139724,"Sybourn Street, London, E17 8HA",Primary,Outstanding,21 July 2023,139724.0,False
Ben Jonson Primary School,/provider/21/100890,"Harford Street, Stepney, London, E1 4PZ",Primary,Good,25 April 2024,100890.0,False
Shaftesbury Primary School,/provider/21/145627,"Shaftesbury Road, Forest Gate, London, E7 8PF",Primary,,19 January 2022,145627.0,False
